day;level;epsilon;daily_avg_delay;entries;new_entries;removed_entries;changed_entries;changed_fraction;mean_abs_delta;max_abs_delta;l2_delta
100;NIVELL_1;0.8;3.0570816708365864;56;56;0;27;0.48214285714285715;8.91455543307147;79.59630712474733;147.7853406245763
200;NIVELL_1;0.6400000000000001;2.316396177809341;56;0;0;18;0.32142857142857145;2.623840883305401;33.011167651879425;53.259683530591985
300;NIVELL_1;0.5120000000000001;1.7097995055180637;56;0;0;13;0.23214285714285715;1.2941865685045815;17.198480762497773;28.13095899109263
400;NIVELL_1;0.40960000000000013;1.6043224013805018;56;0;0;15;0.26785714285714285;1.0215981634615547;12.782496047657759;21.16116562602856
500;NIVELL_1;0.32768000000000014;1.582802679933916;56;0;0;12;0.21428571428571427;0.73636926018018;7.290885635963164;14.719375826537584
600;NIVELL_1;0.2621440000000001;1.5282873076083943;56;0;0;12;0.21428571428571427;1.1178119453265558;15.436120323180148;25.251814276164506
700;NIVELL_1;0.2097152000000001;1.546188484674658;56;0;0;12;0.21428571428571427;0.731163237614156;18.35694795371343;22.197488301895877
800;NIVELL_1;0.1677721600000001;1.440321812986057;56;0;0;12;0.21428571428571427;1.4964685027833127;33.87761705745104;42.58076877446938
900;NIVELL_1;0.13421772800000006;1.468300869067529;56;0;0;12;0.21428571428571427;0.7051758147272535;13.627396682656666;17.78177865389187
1000;NIVELL_1;0.10737418240000006;1.401071564246103;56;0;0;12;0.21428571428571427;0.9121151866624592;21.624913634285278;25.00955843109974
1100;NIVELL_1;0.08589934592000005;1.3525037513881613;56;0;0;9;0.16071428571428573;0.770698635376964;23.08831537257977;25.04304081599284
1200;NIVELL_1;0.06871947673600004;1.309845223963089;56;0;0;10;0.17857142857142858;1.1117617134437527;20.347276950326126;29.885671016545096
1300;NIVELL_1;0.054975581388800036;1.6181264330058027;56;0;0;10;0.17857142857142858;1.411720339222502;37.99490055936175;41.84541993892098
1400;NIVELL_1;0.043980465111040035;1.3448202392335034;56;0;0;9;0.16071428571428573;1.1796607499528906;36.343368382665865;38.56444100639079
1500;NIVELL_1;0.03518437208883203;1.3270708787745285;56;0;0;9;0.16071428571428573;0.3331186981728639;11.598404873570246;12.30070217478088
1600;NIVELL_1;0.028147497671065627;1.311119069315571;56;0;0;9;0.16071428571428573;0.46368721778959293;14.09460890323195;15.004118922849202
1700;NIVELL_2;0.8;3.990684986325109;56;0;0;24;0.42857142857142855;3.2631511147859933;25.136509566179893;48.717938383888495
1800;NIVELL_2;0.6400000000000001;3.514945948718552;64;8;0;22;0.34375;0.9620748973130775;9.948475648768309;17.48016914494105
1900;NIVELL_2;0.5120000000000001;2.278557026849823;64;0;0;15;0.234375;1.8660985194609032;26.986179760607023;44.99186798747461
2000;NIVELL_2;0.40960000000000013;2.0061766939429653;64;0;0;12;0.1875;0.6288156199170355;11.55522252915458;16.441940895377027
2100;NIVELL_2;0.32768000000000014;1.6093668226627307;64;0;0;12;0.1875;1.0626462075716692;28.2938388019203;32.938895716942596
2200;NIVELL_2;0.2621440000000001;1.6790773296879278;64;0;0;12;0.1875;0.8818117216401302;13.91521040861911;23.475102608980105
2300;NIVELL_2;0.2097152000000001;1.529870742695159;64;0;0;12;0.1875;1.3670541287647282;24.95621262842654;35.903272611853744
2400;NIVELL_2;0.1677721600000001;1.1494024283880602;64;0;0;12;0.1875;0.6288510357386505;9.224508901704326;15.873899872008508
2500;NIVELL_2;0.13421772800000006;1.2071314549052907;64;0;0;12;0.1875;1.0541717290513795;34.67859572372313;37.58173637884696
2600;NIVELL_2;0.10737418240000006;1.1444195028219644;64;0;0;12;0.1875;1.039780002275628;29.201476987613468;35.04075154020877
2700;NIVELL_2;0.08589934592000005;1.0794999192649253;64;0;0;12;0.1875;0.820026975102446;18.06492160114921;22.90602859634043
2800;NIVELL_2;0.06871947673600004;0.9217384828253531;64;0;0;12;0.1875;1.6664711177917246;38.2373431233523;47.8167070719737
2900;NIVELL_2;0.054975581388800036;1.1226985052448197;64;0;0;10;0.15625;1.3066541609898168;20.531561402892123;33.670657973495715
3000;NIVELL_2;0.043980465111040035;0.9622195563179907;64;0;0;11;0.171875;0.6411132447557117;13.081390715815914;18.503367349591162
3100;NIVELL_2;0.03518437208883203;1.0310106376595205;64;0;0;9;0.140625;0.8169545648688805;19.24949847012708;23.658770593920366
3200;NIVELL_2;0.028147497671065627;0.9086516158565222;64;0;0;9;0.140625;0.590280976875683;10.113121854277711;15.551227799981461
3300;NIVELL_2;0.022517998136852502;0.9213126862490979;64;0;0;9;0.140625;0.8864221742659419;20.972341581024985;28.872099115723177
3400;NIVELL_3;0.8;5.198928601688792;96;32;0;30;0.3125;4.832055027305029;44.02154413604561;107.13161653920322
3500;NIVELL_3;0.6400000000000001;3.8955894951898795;96;0;0;25;0.2604166666666667;2.668607328423045;33.35468723882284;71.60163397336247
3600;NIVELL_3;0.5120000000000001;2.853240093777446;96;0;0;22;0.22916666666666666;1.3137305835789148;22.436913656337424;40.3656047401129
3700;NIVELL_3;0.40960000000000013;2.3245579203769617;96;0;0;22;0.22916666666666666;1.3986793611849009;25.565874097445686;45.42294593151099
3800;NIVELL_3;0.32768000000000014;1.6780562207581833;96;0;0;20;0.20833333333333334;1.0935172852648096;16.09436854716634;32.930337325321474
3900;NIVELL_3;0.2621440000000001;1.6667676499762851;96;0;0;20;0.20833333333333334;0.9769062015022683;24.500422394510657;33.33793150291108
4000;NIVELL_3;0.2097152000000001;1.5229668668036318;96;0;0;20;0.20833333333333334;0.7573827034228069;14.007327145397817;23.535043684461666
4100;NIVELL_3;0.1677721600000001;1.5224595232876026;96;0;0;20;0.20833333333333334;0.8693470218353427;17.13182823889884;28.488592446143198
4200;NIVELL_3;0.13421772800000006;1.2537290222678459;96;0;0;20;0.20833333333333334;1.2810301230822272;32.86265265098373;47.88450347271423
4300;NIVELL_3;0.10737418240000006;1.263311167113424;96;0;0;20;0.20833333333333334;0.883999656605457;19.40178232132968;30.735768000161062
4400;NIVELL_3;0.08589934592000005;1.1962199933778357;96;0;0;20;0.20833333333333334;0.713550113933303;16.95606857410469;25.56384805000771
4500;NIVELL_3;0.06871947673600004;1.1863711260417806;96;0;0;20;0.20833333333333334;0.9649713053808192;27.54092840299441;39.55512019544266
4600;NIVELL_3;0.054975581388800036;1.1639119612725468;96;0;0;19;0.19791666666666666;0.7184590805407219;21.616314516263955;29.041383345087542
4700;NIVELL_3;0.043980465111040035;1.159569924583518;96;0;0;19;0.19791666666666666;0.6885998068883405;14.08763522515353;24.9850555791851
4800;NIVELL_3;0.03518437208883203;1.177142822874306;96;0;0;19;0.19791666666666666;1.0387773197889962;35.217765502417166;46.865563357704154
4900;NIVELL_3;0.028147497671065627;1.2177721273280062;96;0;0;18;0.1875;0.6008905968259746;12.40743048329579;20.93394525123241
5000;NIVELL_4;0.8;3.755195430641407;96;0;0;20;0.20833333333333334;1.026046796031018;23.067163925094306;35.61644657958115
5100;NIVELL_4;0.6400000000000001;2.579376941280269;96;0;0;12;0.125;0.5170181948586329;13.593290680289698;19.00168481183969
5200;NIVELL_4;0.5120000000000001;2.055073658637439;96;0;0;12;0.125;0.49548881055257327;15.409993658462874;22.392392947265574
5300;NIVELL_4;0.40960000000000013;1.8018111043546852;96;0;0;12;0.125;0.6272169878168331;18.951573771639985;27.515835070758172
5400;NIVELL_4;0.32768000000000014;1.4577736323680022;96;0;0;12;0.125;0.7708352708970251;18.44704912141156;30.686359731588148
5500;NIVELL_4;0.2621440000000001;1.2373306975061285;96;0;0;12;0.125;0.4735992632508023;11.838513402737448;18.929164971799352
5600;NIVELL_4;0.2097152000000001;1.4676780301121781;96;0;0;12;0.125;1.0733697342602257;28.761336017940756;45.656842326449464
5700;NIVELL_4;0.1677721600000001;1.1469970276171018;96;0;0;11;0.11458333333333333;0.4577499992004423;14.06697032126393;18.994451377376727
5800;NIVELL_4;0.13421772800000006;1.145808713773213;96;0;0;12;0.125;0.7235860417515373;21.558632772486526;31.714584665807816
5900;NIVELL_4;0.10737418240000006;1.2177869797651442;96;0;0;11;0.11458333333333333;0.5484455582100513;18.695685987401916;25.142306621663074
6000;NIVELL_4;0.08589934592000005;1.0932737179515986;96;0;0;10;0.10416666666666667;0.7150489196929689;23.816590359395487;31.88287448280367
6100;NIVELL_4;0.06871947673600004;1.0599502092735207;96;0;0;9;0.09375;0.5738220423306416;21.792223081201563;28.181746710735926
6200;NIVELL_4;0.054975581388800036;1.051723452213605;96;0;0;9;0.09375;0.4945521162576672;14.75505726354259;20.53720824290754
6300;NIVELL_4;0.043980465111040035;1.051043121558909;96;0;0;9;0.09375;0.7850151286918186;21.537591288690408;34.190720054444185
6400;NIVELL_4;0.03518437208883203;1.0330913884402537;96;0;0;10;0.10416666666666667;0.8646554871305542;25.201385720636054;39.44054596457737
6500;NIVELL_4;0.028147497671065627;1.0074167458972005;96;0;0;8;0.08333333333333333;0.6166030328732837;26.35367466102911;32.262875768608595
6600;NIVELL_4;0.022517998136852502;1.0269742575155838;96;0;0;6;0.0625;0.707890841594652;28.128524869834543;40.12498936668906
6700;NIVELL_5;0.8;9.907547872657197;96;0;0;32;0.3333333333333333;4.026589129794786;28.96387520299457;89.57441587834839
6800;NIVELL_5;0.6400000000000001;7.870630148666616;96;0;0;28;0.2916666666666667;1.966567657357298;22.91279365201465;47.07022206737139
6900;NIVELL_5;0.5120000000000001;6.37627427236493;100;4;0;30;0.3;1.181255171875489;15.065949618302575;30.091046859055233
7000;NIVELL_5;0.40960000000000013;5.219612467038905;100;0;0;28;0.28;0.7549316602960602;10.760738221481581;20.645490629215693
7100;NIVELL_5;0.32768000000000014;4.774558527982946;100;0;0;27;0.27;0.920844610015804;20.42844214660535;32.36482823797257
7200;NIVELL_5;0.2621440000000001;3.902416254048977;100;0;0;27;0.27;0.9324011554973878;17.496298110737698;30.36297604950949
7300;NIVELL_5;0.2097152000000001;3.397520256833755;100;0;0;25;0.25;0.529068118768318;11.08167858920519;19.99641827384557
7400;NIVELL_5;0.1677721600000001;3.1338187315644745;100;0;0;23;0.23;0.86060085623783;28.668406053845807;38.22054687045586
7500;NIVELL_5;0.13421772800000006;2.930825921210933;100;0;0;18;0.18;0.6412920100301417;20.087419379617863;28.743130961043093
7600;NIVELL_5;0.10737418240000006;2.944713836331702;100;0;0;16;0.16;1.1005086096646872;37.17394583485826;51.11997430313955
7700;NIVELL_5;0.08589934592000005;2.740008824565316;100;0;0;15;0.15;0.7214842206287022;19.676824823675062;30.4414958521521
7800;NIVELL_5;0.06871947673600004;2.6435937915203653;100;0;0;12;0.12;0.4797003356602025;14.807314032827406;19.52455547456828
7900;NIVELL_5;0.054975581388800036;2.519961840492806;100;0;0;15;0.15;0.4278557424034205;10.513403366899475;16.39429886010055
8000;NIVELL_5;0.043980465111040035;2.5281424661525955;100;0;0;12;0.12;0.4438886790136273;10.088207533081583;16.68181862249101
8100;NIVELL_5;0.03518437208883203;2.3589603538612716;100;0;0;12;0.12;0.3643488068020856;14.973985885832128;18.23818508282428
8200;NIVELL_5;0.028147497671065627;2.4221051538708482;100;0;0;12;0.12;0.5157810957531875;16.315937745818793;22.545672835997276
8300;NIVELL_5;0.022517998136852502;2.3941828073374287;100;0;0;12;0.12;0.5854751832195221;15.478470730775754;25.40008219722609
8400;NIVELL_6;0.8;13.141594131761108;237;137;0;144;0.6075949367088608;396.90327876188115;7688.175822306998;22538.212233591505
8500;NIVELL_6;0.6400000000000001;9.675116192249458;255;18;0;126;0.49411764705882355;483.74361851903797;8723.586618754445;26010.923852857664
8600;NIVELL_6;0.5120000000000001;6.959821194758996;255;0;0;107;0.4196078431372549;113.01190873319021;2587.3289116368505;6733.827310609032
8700;NIVELL_6;0.40960000000000013;4.953620850762116;267;12;0;119;0.44569288389513106;258.06285394415045;11226.046232876253;23025.3794244084
8800;NIVELL_6;0.32768000000000014;4.069977174422588;271;4;0;92;0.33948339483394835;124.15550437177538;2655.0846373570294;6804.685136621364
8900;NIVELL_6;0.2621440000000001;3.575252079653833;271;0;0;38;0.14022140221402213;0.888342773045451;26.89843794096106;58.15189847382323
9000;NIVELL_6;0.2097152000000001;3.0106236789505916;271;0;0;36;0.13284132841328414;0.9191198558979969;25.612027046772383;61.599879243250165
9100;NIVELL_6;0.1677721600000001;2.87062026270345;271;0;0;36;0.13284132841328414;0.695317563369948;25.727848713343793;50.39198261438178
9200;NIVELL_6;0.13421772800000006;2.4635285827464815;271;0;0;36;0.13284132841328414;0.49925061418694383;26.792120981305153;39.553979429724265
9300;NIVELL_6;0.10737418240000006;2.1872397402045163;271;0;0;34;0.12546125461254612;0.5980457273217986;18.633778802799146;42.5564826290199
9400;NIVELL_6;0.08589934592000005;2.190927917552571;271;0;0;32;0.11808118081180811;0.5744087289698958;29.47844383785528;49.52076531810504
9500;NIVELL_6;0.06871947673600004;2.0980407102443133;271;0;0;31;0.11439114391143912;0.4743925088905017;18.829804726826985;37.161800177830315
9600;NIVELL_6;0.054975581388800036;2.109570499900395;271;0;0;30;0.11070110701107011;0.3776857308186982;11.47430297270924;26.905688847695103
9700;NIVELL_6;0.043980465111040035;2.026081946288253;271;0;0;29;0.1070110701107011;0.2863023032844529;10.75285446982108;21.527450979015473
9800;NIVELL_6;0.03518437208883203;2.0046094861919075;271;0;0;26;0.0959409594095941;0.40156929431743604;17.445437590039678;31.86248810654975
9900;NIVELL_6;0.028147497671065627;1.9878702436424596;271;0;0;26;0.0959409594095941;0.6267917993564844;28.220238149940183;52.74130030907777
10000;NIVELL_6;0.022517998136852502;1.9658102515916787;271;0;0;23;0.08487084870848709;0.501018234416755;19.97952373016362;40.998348417691055
