 ID;NOMBRE_ESTACION;LATITUD;LONGITUD;;
72400;AEROPORT;413.038.736;20.724.734;;
78804;ARC DE TRIOMF;413.924.353;21.804.163;;
79600;ARENYS DE MAR;415.776.847;25.492.036;;
79404;BADALONA;414.458.407;22.488.907;;
77106;BALENYA-ELS HOSTALETS;418.144.863;22.329.795;;
77107;BALENYA-TONA-SEVA;418.417.065;22.473.584;;
78705;BARBERA DEL VALLES;415.131.445;21.183.542;;
79009;BARCELONA-CLOT-ARAGO;414.095.992;21.905.257;;
79400;BARCELONA-ESTACIO DE FRANÇA;413.844.324;21.853.105;;
71802;BARCELONA-PASSEIG DE GRACIA;41.392.338;2.164.656;;
79004;BARCELONA-SANT ANDREU COMTAL;41.435.673;21.934.035;;
71801;BARCELONA-SANTS;41.379.335;21.394.773;;
71708;BELLVITGE;41.355.564;21.152.487;;
79606;BLANES;416.737.575;2.769.047;;
77112;BORGONYA;420.646.475;22.419.078;;
79412;CABRERA DE MAR-VILASSAR DE MAR;41.506.864;24.013.433;;
71601;CALAFELL;411.895.998;15.745.238;;
79502;CALDES D'ESTRAC;415.685.224;25.271.529;;
79603;CALELLA;416.147.387;26.656.214;;
77301;CAMPDEVANOL;422.216.131;21.657.572;;
79601;CANET DE MAR;415.865.608;25.811.047;;
79101;CARDEDEU;416.356.234;23.589.649;;
78605;CASTELLBELL I EL VILAR-MONISTROL DE MONTSERRAT;41.628.645;18.681.931;;
72210;CASTELLBISBAL;414.732.577;19.679.072;;
71705;CASTELLDEFELS;412.787.584;19.786.173;;
77105;CENTELLES;417.994.546;22.226.634;;
78706;CERDANYOLA DEL VALLES;414.931.904;2.146.393;;
72503;CERDANYOLA UNIVERSITAT;414.960.945;21.150.336;;
72303;CORNELLA;413.580.326;20.694.776;;
71604;CUBELLES;412.043.089;16.759.281;;
71603;CUNIT;411.949.866;1.631.522;;
79407;EL MASNOU;41.477.027;2.310.429;;
72211;EL PAPIOL;414.354;2.002.539;;
71707;EL PRAT DE LLOBREGAT;413.314.058;20.906.231;;
72201;EL VENDRELL;412.182.587;15.359.795;;
72203;ELS MONJOS;413.146.746;16.599.427;;
77103;FIGARO;41.724.218;22.716.195;;
71703;GARRAF;412.545.489;19.023.463;;
71706;GAVA;413.032.321;20.098.046;;
72208;GELIDA;414.482.158;18.647.788;;
77006;GRANOLLERS-CANOVELLES;416.113.434;22.772.799;;
79100;GRANOLLERS-CENTRE;41.599.741;2.291.247;;
79105;GUALBA;417.181.933;25.387.372;;
79107;HOSTALRIC;417.479.722;26.315.024;;
77114;LA FARGA DE BEBIE;421.300.831;22.039.106;;
77102;LA GARRIGA;41.686.099;22.888.386;;
72205;LA GRANADA;413.639.003;17.341.398;;
79011;LA LLAGOSTA;415.103.531;21.994.129;;
77306;LA MOLINA;423.445.934;19.559.514;;
78806;LA SAGRERA-MERIDIANA;41.424.371;2.188.854;;
72202;L'ARBOÇ;412.738.229;16.001.033;;
72206;LAVERN-SUBIRATS;413.957.338;17.694.788;;
77100;LES FRANQUESES DEL VALLES;416.289.563;22.952.142;;
79109;LES FRANQUESES-GRANOLLERS NORD;416.169.899;22.945.361;;
72305;L'HOSPITALET DE LLOBREGAT;41.364.207;209.866;;
79102;LLINARS DEL VALLES;41.638.723;24.057.269;;
79200;MAÇANET-MASSANES;417.072.202;2.719.419;;
79605;MALGRAT DE MAR;416.386.953;27.343.186;;
77110;MANLLEU;419.998.791;22.693.136;;
78600;MANRESA;417.204.521;18.267.803;;
72209;MARTORELL;414.794.339;19.266.805;;
79500;MATARO;41.533.679;24.454.458;;
72300;MOLINS DE REI;414.106.681;20.200.844;;
79006;MOLLET-SANT FOST;415.334.106;2.217.228;;
77004;MOLLET-SANTA ROSA;415.372.765;22.058.264;;
79005;MONTCADA I REIXAC;41.484.248;2.188.077;;
78708;MONTCADA I REIXAC-MANRESA;414.837.509;21.855.549;;
78707;MONTCADA I REIXAC-SANTA MARIA;41.483.927;2.185.392;;
78800;MONTCADA-BIFURCACIO;41.470.733;21.793.281;;
77002;MONTCADA-RIPOLLET;41.496.746;2.181.925;;
79405;MONTGAT;414.631.131;22.719.603;;
79406;MONTGAT-NORD;414.688.828;22.867.775;;
79007;MONTMELO;415.502.523;22.464.562;;
79408;OCATA;414.788.285;23.200.155;;
79103;PALAUTORDERA;416.714.084;24.536.742;;
77005;PARETS DEL VALLES;415.561.401;22.266.276;;
79604;PINEDA DE MAR;416.222.525;26.929.077;;
78805;PLAÇA  DE CATALUNYA;413.867.713;216.631;;
77304;PLANOLES;423.143.913;20.998.317;;
71704;PLATJA DE CASTELLDEFELS;412.672.389;19.569.472;;
79409;PREMIA DE MAR;41.487.645;23.540.806;;
77309;PUIGCERDA;42.429.518;19.246.499;;
77303;RIBES DE FRESER;42.298.685;21.653.593;;
79106;RIELLS I VIABREA-BREDA;417.264.426;2.567.899;;
77200;RIPOLL;421.960.343;21.958.647;;
72501;RUBI;41.475.602;20.359.923;;
78704;SABADELL CENTRE;415.456.011;21.164.539;;
78709;SABADELL NORD;415.620.267;20.970.025;;
78703;SABADELL SUD;415.289.702;21.050.239;;
79403;SANT ADRIA DE BESOS;414.245.427;22.303.097;;
78802;SANT ANDREU ARENAL;414.317.406;21.824.497;;
79501;SANT ANDREU DE LLAVANERES;415.552.239;24.982.668;;
79104;SANT CELONI;416.864.168;24.914.641;;
72502;SANT CUGAT DEL VALLES;414.811.671;20.793.256;;
72301;SANT FELIU DE LLOBREGAT;41.383.674;20.470.732;;
72302;SANT JOAN DESPI;413.693;2.059.313;;
77104;SANT MARTI DE CENTELLES;4.176.036;22.491.296;;
78610;SANT MIQUEL DE GONTERES;415.694.331;19.734.433;;
79602;SANT POL DE MAR;416.016.378;26.240.904;;
77113;SANT QUIRZE DE BESORA-MONTESQUIU;42.104.825;2.217.712;;
72207;SANT SADURNI D'ANOIA;414.203.322;17.938.898;;
71600;SANT VICENÇ DE CALDERS;411.861.054;15.245.117;;
78604;SANT VICENÇ DE CASTELLET;416.688.715;18.617.008;;
77003;SANTA PERPETUA DE MOGODA;415.219.473;21.950.199;;
79608;SANTA SUSANNA;41.630.364;2.716.376;;
71602;SEGUR DE CALAFELL;411.925.946;16.061.204;;
71701;SITGES;412.390.256;18.100.849;;
78700;TERRASSA;415.702.554;20.144.564;;
78710;TERRASSA EST;415.661.808;20.386.845;;
79607;TORDERA;417.072.202;2.719.419;;
77111;TORELLO;420.519.852;22.599.796;;
78801;TORRE DEL BARO;414.603.746;2.181.518;;
77305;TOSES;423.207.829;20.151.426;;
77307;URTX-ALP;423.768.775;18.968.278;;
78606;VACARISSES;416.025.004;18.930.548;;
78607;VACARISSES-TORREBLANCA;41.586.984;1.917.034;;
77109;VIC;419.310.634;22.489.051;;
71709;VILADECANS;413.095.952;20.274.562;;
78609;VILADECAVALLS;415.650.666;19.534.516;;
72204;VILAFRANCA DEL PENEDES;413.422.231;17.067.992;;
71700;VILANOVA I LA GELTRU;412.201.668;17.305.269;;
79410;VILASSAR DE MAR;415.005.719;23.897.035;;
